Time,Susceptible,Exposed,Infected,Recovered,Dead
0,99,0,1,0,0
0.008881346463236362,98,1,1,0,0
0.029493867137143956,97,2,1,0,0
0.0311953521704308,96,3,1,0,0
0.03624942868266568,95,4,1,0,0
0.07593138538015962,94,5,1,0,0
0.1294063271120188,93,6,1,0,0
0.1551053553900535,92,7,1,0,0
0.15787003963945775,91,8,1,0,0
0.16538028546994782,90,9,1,0,0
0.16822788582344292,89,10,1,0,0
0.20223711679001363,88,11,1,0,0
0.20990841448279374,87,12,1,0,0
0.22515228768529716,86,13,1,0,0
0.24475634924658546,85,14,1,0,0
0.247635223296787,84,15,1,0,0
0.250330465809342,83,16,1,0,0
0.2551695634051227,82,17,1,0,0
0.277562316501676,81,18,1,0,0
0.27884909658290397,80,19,1,0,0
0.2796990206091949,79,20,1,0,0
0.2858900771831266,78,21,1,0,0
0.28832300335627387,77,22,1,0,0
0.30200314010534696,76,23,1,0,0
0.30505878344093,75,24,1,0,0
0.32164423087291244,74,25,1,0,0
0.3718448876890544,73,26,1,0,0
0.38767145519690144,72,27,1,0,0
0.4211896913500431,71,28,1,0,0
0.42517109180760393,70,29,1,0,0
0.4260598001004173,70,28,2,0,0
0.43379888568731056,70,27,3,0,0
0.43505778683995533,69,28,3,0,0
0.43519453895693594,68,29,3,0,0
0.4398292390944363,67,30,3,0,0
0.44069550919009753,66,31,3,0,0
0.45066834204488077,65,32,3,0,0
0.4529762682914015,64,33,3,0,0
0.45709431196236,63,34,3,0,0
0.45744879720145576,63,33,4,0,0
0.459096075136302,62,34,4,0,0
0.462361381651725,61,35,4,0,0
0.4639544968214293,60,36,4,0,0
0.48060770035602424,59,37,4,0,0
0.4830020940308861,59,36,5,0,0
0.48824322518327856,58,37,5,0,0
0.49259175937423,57,38,5,0,0
0.49340000855900135,56,39,5,0,0
0.49506185401927866,55,40,5,0,0
0.5071659356174992,54,41,5,0,0
0.5143171260731637,53,42,5,0,0
0.5182517555374014,53,41,6,0,0
0.5192771118327837,52,42,6,0,0
0.5196393665429538,52,42,5,1,0
0.5204203024908738,51,43,5,1,0
0.5233332455245305,51,42,6,1,0
0.5249020561895608,51,41,7,1,0
0.5320193452397655,50,42,7,1,0
0.5342040047920585,49,43,7,1,0
0.534223324682053,48,44,7,1,0
0.534971724932857,47,45,7,1,0
0.5393679399132263,46,46,7,1,0
0.5416246069865569,45,47,7,1,0
0.542597998464456,44,48,7,1,0
0.5432492063237976,43,49,7,1,0
0.5447476205978343,42,50,7,1,0
0.5455025359898655,41,51,7,1,0
0.5474183530592801,40,52,7,1,0
0.5530911954040846,39,53,7,1,0
0.5545648818557933,38,54,7,1,0
0.5600067271266045,37,55,7,1,0
0.5609688111966828,36,56,7,1,0
0.5610549739148387,35,57,7,1,0
0.5646925155092128,34,58,7,1,0
0.5662153901342942,33,59,7,1,0
0.5662256174503789,32,60,7,1,0
0.5686319097737385,31,61,7,1,0
0.5691463078627541,30,62,7,1,0
0.5760488156702903,30,61,8,1,0
0.5773585658594417,29,62,8,1,0
0.5807819899209418,28,63,8,1,0
0.5871332084169203,28,63,7,2,0
0.587810496993135,27,64,7,2,0
0.5911620829160169,27,63,8,2,0
0.5952101884808417,27,62,9,2,0
0.6006151498805117,26,63,9,2,0
0.6018862092244728,26,62,10,2,0
0.6019731378569264,25,63,10,2,0
0.6047900116579729,24,64,10,2,0
0.6068643888933516,24,64,9,3,0
0.6135444794419433,23,65,9,3,0
0.6175057993526261,22,66,9,3,0
0.6182145801375716,22,65,10,3,0
0.6182243973703644,21,66,10,3,0
0.634237449085645,20,67,10,3,0
0.6345042876205994,19,68,10,3,0
0.6385044475625387,18,69,10,3,0
0.6394429189200054,17,70,10,3,0
0.6458910903664056,17,69,11,3,0
0.6499681735931886,16,70,11,3,0
0.6519757514243147,16,69,12,3,0
0.6530936288169306,15,70,12,3,0
0.6562872014573955,14,71,12,3,0
0.6566983540149868,14,70,13,3,0
0.659709747047671,14,69,14,3,0
0.6623209853059896,13,70,14,3,0
0.6629148965522143,12,71,14,3,0
0.6896498313838934,11,72,14,3,0
0.6931875435534052,10,73,14,3,0
0.6940298158219801,10,72,15,3,0
0.6940623521965531,9,73,15,3,0
0.6947991285269645,9,72,16,3,0
0.6951664077329995,8,73,16,3,0
0.7020776191065946,7,74,16,3,0
0.708377634314771,6,75,16,3,0
0.7128133882391369,5,76,16,3,0
0.7165672394792193,4,77,16,3,0
0.721702170633181,4,77,15,4,0
0.7353239176593143,4,76,16,4,0
0.7373359402883325,4,75,17,4,0
0.7429524709842403,3,76,17,4,0
0.7431636519247716,2,77,17,4,0
0.7436154095507104,1,78,17,4,0
0.7465691962229014,1,77,18,4,0
0.7673141762676079,1,76,19,4,0
0.7783633143158067,0,77,19,4,0
0.8037463020394726,0,76,20,4,0
0.8131340418543143,0,75,21,4,0
0.8248103311581031,0,74,22,4,0
0.8300252362322487,0,73,23,4,0
0.8556102743721589,0,72,24,4,0
0.8556697161047486,0,72,23,5,0
0.8664504732960161,0,71,24,5,0
0.8876357872196613,0,70,25,5,0
0.8880235383622846,0,69,26,5,0
0.8922676412829708,0,68,27,5,0
0.8958999442135938,0,68,26,6,0
0.9428179014815505,0,68,25,7,0
0.9861636912268928,0,67,26,7,0
0.9950305494678668,0,66,27,7,0
0.9990644650968941,0,65,28,7,0
1.0024369928878034,0,64,29,7,0
1.028625675403056,0,64,28,8,0
1.0389394135830254,0,64,27,9,0
1.0614985861985617,0,63,28,9,0
1.0669769386145997,0,63,27,10,0
1.0683038404897145,0,62,28,10,0
1.078451643625317,0,61,29,10,0
1.0815725475147429,0,60,30,10,0
1.0819447886095064,0,60,29,11,0
1.1081993476780074,0,59,30,11,0
1.127772205176519,0,58,31,11,0
